farmlndcl,n
All areas are prime farmland,33
Not prime farmland,33
Farmland of statewide importance,30
Prime farmland if drained,24
Classification missing Classification missing,23
Prime farmland if protected from flooding or not frequently flooded during the growing season,19
Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,18
Prime farmland if irrigated,17
Farmland of local importance,11
Farmland of unique importance,7
Classification missing0Classification missing,6
"Farmland of statewide importance, if drained",4
Prime farmland if irrigated and drained,3
Prime farmland if irrigated and either protected from flooding or not frequently flooded during the growing season,3
Prime farmland if irrigated and reclaimed of excess salts and sodium,3
Prime farmland if irrigated and the product of I (soil erodibility) x C (climate factor) does not exceed 60,3
"Farmland of statewide importance, if irrigated",2
"Farmland of statewide importance, if warm enough",2
"Farmland of statewide importance, if warm enough, and either drained or either protected from flooding or not frequently flooded during the growing season",2
"Farmland of statewide importance, if drained and either protected from flooding or not frequently flooded during the growing season",1
"Farmland of statewide importance, if irrigated and either protected from flooding or not frequently flooded during the growing season",1
"Farmland of statewide importance, if protected from flooding or not frequently flooded during the growing season",1
"Prime farmland if subsoiled, completely removing the root inhibiting soil layer",1
