id,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price,price
2,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date
3,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year
4,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha
5,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source,source
6,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id,zip_id
7,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf,zf
8,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub,zf_sel_pub
9,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub,zf_buy_pub
10,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z,n_bld_z
11,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code,bld_code
12,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode,n_bld_zcode
13,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp,n_bld_fp
14,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp,m2_bld_fp
15,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr,bld_yr
16,bld_yr_eff,bld_yr_rem,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_rem,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,val_l_za,bld_yr_rem,bld_yr_eff,val_l_za,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,val_l_za,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,bld_yr_eff,val_l_za,bld_yr_eff,bld_yr_eff,val_l_za,val_l_za
